"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S12L";8346;"Hitachi Capital Corporation";"Japan";"United States of America";"Specialized professional services";"Services";"Other financial";2016;50;2034;350.248062015504;NA;NA;2020;NA;NA;175.124031007752;0.0373917008663931;NA;"Scope 1+2 (location-based)";101;227;227;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";350.248062015504;350.248062015504;101;227;0.307926829268293;1;175.124031007752;311.331610680448;311.331610680448
"S12L";13166;"Nidec Corporation";"Japan";"China";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;199610.416022215;NA;NA;2020;NA;NA;19961.0416022215;0.307168175575515;NA;"Scope 1+2 (location-based)";13263.16;195977.35;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";199610.416022215;199610.416022215;13263.16;195977.35;0.0633871519429961;1;179649.374419993;186303.054954067;186303.054954067
"S12L";13166;"Nidec Corporation";"Japan";"Indonesia";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;7246.55401466626;NA;NA;2020;NA;NA;724.655401466623;0.011151275671139;NA;"Scope 1+2 (location-based)";227.22;7368.94;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";7246.55401466626;7246.55401466623;227.22;7368.94;0.029912482096217;1;6521.89861319961;6763.45041368848;6763.45041368848
"S12L";13166;"Nidec Corporation";"Japan";"Japan";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;57453.3165599139;NA;NA;2020;NA;NA;5745.33165599139;0.0884113704091836;NA;"Scope 1+2 (location-based)";8323.36;51901.76;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";57453.3165599139;57453.3165599139;8323.36;51901.76;0.138204124790453;1;51707.9849039225;53623.0954559196;53623.0954559196
"S12L";13166;"Nidec Corporation";"Japan";"Malaysia";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;9611.92786327196;NA;NA;2020;NA;NA;961.192786327195;0.0147912038077017;NA;"Scope 1+2 (location-based)";7.29;10068.36;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";9611.92786327196;9611.92786327195;7.29;10068.36;0.000723526521862113;1;8650.73507694476;8971.13267238716;8971.13267238716
"S12L";13166;"Nidec Corporation";"Japan";"Philippines";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;92159.8968157919;NA;NA;2020;NA;NA;9215.98968157921;0.141819189250044;NA;"Scope 1+2 (location-based)";25931.85;70674.25;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";92159.8968157919;92159.8968157921;25931.85;70674.25;0.268428701707242;1;82943.9071342129;86015.9036947393;86015.9036947393
"S12L";13166;"Nidec Corporation";"Japan";"Singapore";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;801.015453065053;NA;NA;2020;NA;NA;80.1015453065055;0.00123263334764256;NA;"Scope 1+2 (location-based)";268.36;571.3;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";801.015453065053;801.015453065055;268.36;571.3;0.319605554629255;1;720.913907758549;747.614422860718;747.614422860718
"S12L";13166;"Nidec Corporation";"Japan";"South Korea";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;288.406011684048;NA;NA;2020;NA;NA;28.8406011684048;0.000443810248980897;NA;"Scope 1+2 (location-based)";40.5;261.82;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";288.406011684048;288.406011684048;40.5;261.82;0.133964011643292;1;259.565410515643;269.178944238445;269.178944238445
"S12L";13166;"Nidec Corporation";"Japan";"Taiwan";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;3237.18385752904;NA;NA;2020;NA;NA;323.718385752904;0.00498150286610815;NA;"Scope 1+2 (location-based)";72.11;3321.25;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";3237.18385752904;3237.18385752904;72.11;3321.25;0.021250324162482;1;2913.46547177614;3021.37160036044;3021.37160036044
"S12L";13166;"Nidec Corporation";"Japan";"Thailand";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;175984.962923318;NA;NA;2020;NA;NA;17598.4962923319;0.270812420850144;NA;"Scope 1+2 (location-based)";14626.3;169848.96;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";175984.962923318;175984.962923319;14626.3;169848.96;0.0792859703789007;1;158386.466630987;164252.632061764;164252.632061764
"S12L";13166;"Nidec Corporation";"Japan";"United States of America";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;2195.46119069011;NA;NA;2020;NA;NA;219.546119069011;0.00337846001190677;NA;"Scope 1+2 (location-based)";48.83;2252.55;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";2195.46119069011;2195.46119069011;48.83;2252.55;0.0212177041601126;1;1975.9150716211;2049.09711131077;2049.09711131077
"S12L";13166;"Nidec Corporation";"Japan";"Vietnam";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;101248.339911759;NA;NA;2020;NA;NA;10124.833991176;0.155804834589812;NA;"Scope 1+2 (location-based)";5893.06;100239.95;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";101248.339911759;101248.33991176;5893.06;100239.95;0.055525231970713;1;91123.505920584;94498.4505843093;94498.4505843093
"S1";21419;"Axiata Group Berhad";"Malaysia";"Bangladesh";"Media, telecommunications & data center services";"Services";"Telecommunications services";2013;60;2020;89078.0672716984;NA;NA;2019;NA;NA;NA;0.347370941063811;NA;"Other, please specify: Life Cycle Assessment - Cradle to Gate";15961;92786;NA;45948;1028256;NA;"21419-abs-SX-2013-2020-1";"Business division";2013;"No, but we anticipate setting one in the next 2 years";73.9414146534859;"Scope 1";"S1";"";"absolute";89078.0672716984;89078.0672716984;15961;0;1;1;35631.2269086794;43266.4898176821;43266.4898176821
"S1";21419;"Axiata Group Berhad";"Malaysia";"Cambodia";"Media, telecommunications & data center services";"Services";"Telecommunications services";2013;60;2020;904.119221728911;NA;NA;2019;NA;NA;NA;0.00352572473230609;NA;"Other, please specify: Life Cycle Assessment - Cradle to Gate";162;18168;NA;45948;1028256;NA;"21419-abs-SX-2013-2020-1";"Business division";2013;"No, but we anticipate setting one in the next 2 years";73.9414146534859;"Scope 1";"S1";"";"absolute";904.119221728911;904.119221728911;162;0;1;1;361.647688691564;439.143621982614;439.143621982614
"S1";21419;"Axiata Group Berhad";"Malaysia";"Indonesia";"Media, telecommunications & data center services";"Services";"Telecommunications services";2013;60;2020;145356.698332898;NA;NA;2019;NA;NA;NA;0.566836423783407;NA;"Other, please specify: Life Cycle Assessment - Cradle to Gate";26045;575874;NA;45948;1028256;NA;"21419-abs-SX-2013-2020-1";"Business division";2013;"No, but we anticipate setting one in the next 2 years";73.9414146534859;"Scope 1";"S1";"";"absolute";145356.698332898;145356.698332898;26045;0;1;1;58142.6793331592;70601.8249045505;70601.8249045505
"S1";21419;"Axiata Group Berhad";"Malaysia";"Malaysia";"Media, telecommunications & data center services";"Services";"Telecommunications services";2013;60;2020;4353.1666231392;NA;NA;2019;NA;NA;NA;0.0169757116740663;NA;"Other, please specify: Life Cycle Assessment - Cradle to Gate";780;261751;NA;45948;1028256;NA;"21419-abs-SX-2013-2020-1";"Business division";2013;"No, but we anticipate setting one in the next 2 years";73.9414146534859;"Scope 1";"S1";"";"absolute";4353.1666231392;4353.1666231392;780;0;1;1;1741.26664925568;2114.39521695333;2114.39521695333
"S1";21419;"Axiata Group Berhad";"Malaysia";"Sri Lanka";"Media, telecommunications & data center services";"Services";"Telecommunications services";2013;60;2020;16742.9485505354;NA;NA;2019;NA;NA;NA;0.065291198746409;NA;"Other, please specify: Life Cycle Assessment - Cradle to Gate";3000;79677;NA;45948;1028256;NA;"21419-abs-SX-2013-2020-1";"Business division";2013;"No, but we anticipate setting one in the next 2 years";73.9414146534859;"Scope 1";"S1";"";"absolute";16742.9485505354;16742.9485505354;3000;0;1;1;6697.17942021416;8132.28929597433;8132.28929597433
"S12M3";44164;"Bertelsmann";"Germany";"Belgium";"Media, telecommunications & data center services";"Services";"Media";2018;50;2030;NA;NA;NA;2019;NA;NA;NA;0.00544843118501836;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";1720;2301;929;246397;185494;239798;"44164-abs-S12M3-2018-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";NA;0;1720;929;0.649301623254058;1;NA;NA;0
"S12M3";44164;"Bertelsmann";"Germany";"France";"Media, telecommunications & data center services";"Services";"Media";2018;50;2030;NA;NA;NA;2019;NA;NA;NA;0.0061929884100001;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";904;3119;2107;246397;185494;239798;"44164-abs-S12M3-2018-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";NA;0;904;2107;0.300232480903354;1;NA;NA;0
"S12M3";44164;"Bertelsmann";"Germany";"Germany";"Media, telecommunications & data center services";"Services";"Media";2018;50;2030;NA;NA;NA;2019;NA;NA;NA;0.563586626764981;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";199618;108893;74395;246397;185494;239798;"44164-abs-S12M3-2018-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";NA;0;199618;74395;0.728498282928182;1;NA;NA;0
"S12M3";44164;"Bertelsmann";"Germany";"Luxembourg";"Media, telecommunications & data center services";"Services";"Media";2018;50;2030;NA;NA;NA;2019;NA;NA;NA;0.0111045979493825;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";929;3869;4470;246397;185494;239798;"44164-abs-S12M3-2018-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";NA;0;929;4470;0.172068901648453;1;NA;NA;0
"S12M3";44164;"Bertelsmann";"Germany";"Netherlands";"Media, telecommunications & data center services";"Services";"Media";2018;50;2030;NA;NA;NA;2019;NA;NA;NA;0.00474295293040858;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";1021;3789;1285;246397;185494;239798;"44164-abs-S12M3-2018-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";NA;0;1021;1285;0.44275802254987;1;NA;NA;0
"S12M3";44164;"Bertelsmann";"Germany";"Other, please specify: Rest of the World";"Media, telecommunications & data center services";"Services";"Media";2018;50;2030;NA;NA;NA;2019;NA;NA;NA;0.083733892779646;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";3864;38657;36847;246397;185494;239798;"44164-abs-S12M3-2018-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";NA;0;3864;36847;0.0949129227972784;1;NA;NA;0
"S12M3";44164;"Bertelsmann";"Germany";"Poland";"Media, telecommunications & data center services";"Services";"Media";2018;50;2030;NA;NA;NA;2019;NA;NA;NA;0.0235481648309835;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";501;10953;10948;246397;185494;239798;"44164-abs-S12M3-2018-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";NA;0;501;10948;0.0437592802864879;1;NA;NA;0
"S12M3";44164;"Bertelsmann";"Germany";"Russian Federation";"Media, telecommunications & data center services";"Services";"Media";2018;50;2030;NA;NA;NA;2019;NA;NA;NA;0.0120610043295386;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";987;3913;4877;246397;185494;239798;"44164-abs-S12M3-2018-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";NA;0;987;4877;0.16831514324693;1;NA;NA;0
"S12M3";44164;"Bertelsmann";"Germany";"Spain";"Media, telecommunications & data center services";"Services";"Media";2018;50;2030;NA;NA;NA;2019;NA;NA;NA;0.00536410288053147;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";387;4789;2221;246397;185494;239798;"44164-abs-S12M3-2018-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";NA;0;387;2221;0.148389570552147;1;NA;NA;0
