"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S12L";22287;"Vopak";"Netherlands";"Global";"Oil & gas storage & transportation";"Fossil Fuels";"Oil & gas pipelines & storage";2015;30;2030;449330;449000;NA;2019;408475;NA;NA;1;100;"Scope 1+2 (location-based)";189000;260000;NA;189000;260000;NA;"22287-abs-S12L-2015-2030-1";NA;2016;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";31.9631451271894;"Scope 1+2";"S1";"S2L";"absolute";449330;449330;189000;260000;0.420935412026726;1;314531;413383.6;408475
"S12L";22341;"Ecopetrol S.A.";"Colombia";"Global";"Oil & gas extraction & production";"Fossil Fuels";"Oil & gas extraction";2010;20;2030;NA;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";10723525;301505;147939;10723525;301505;147939;"22341-abs-S12L-2010-2030-1";"Company-wide";2019;"No, but we anticipate setting one in the next 2 years";NA;"Scope 1+2";"S1";"S2L";"absolute";NA;0;10723525;301505;0.972652682124221;1;NA;NA;0
"S12L";22383;"Alk-Abello A/S";"Denmark";"Global";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2017;25;2020;9658;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"22383-abs-S12L-2017-2020-1";"Other, please specify: All production facilities: Hørsholm, Madrid, Varennes, Port Washington, Post Falls and Oklahoma";2018;"No, but we anticipate setting one in the next 2 years";87.2230275419341;"Scope 1+2";"S1";"S2L";"absolute";9658;9658;NA;NA;1;1;7243.5;8048.33333333333;8048.33333333333
NA;22528;"Organizacion Soriana";"Mexico";"Global";"Convenience retail";"Retail";"Supermarkets, food & drugstores";2019;20;2021;1310404;NA;NA;2019;NA;NA;NA;1;25.68;"Other, please specify: All business units";NA;NA;NA;NA;NA;NA;"22528-abs-SX-2019-2021-1";"Company-wide";2016;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";125.285209752107;NA;NA;NA;"absolute";1310404;1310404;NA;NA;0;1;1048323.2;1310404;1310404
NA;22943;"Skandinaviska Enskilda Banken AB (SEB AB)";"Sweden";"Global";"Financial services";"Services";"Banks";2015;20;2020;23193;NA;NA;2019;NA;NA;NA;1;100;"Other, please specify: Energy consumption in buildings, business travel, paper consumption and company cars";0;8853;4197;0;8853;4197;"22943-abs-SX-2015-2020-1";"Company-wide";2016;"No, and we do not anticipate setting one in the next 2 years";14.4008968223171;NA;NA;NA;"absolute";23193;23193;NA;NA;0;1;18554.4;19482.12;19482.12
"S2M";23130;"Vaisala Oyj";"Finland";"Global";"Electrical & electronic equipment";"Manufacturing";"Electrical equipment";2014;90;2020;6536;NA;NA;2019;681.4;NA;NA;1;100;"Scope 2 (market-based)";254;3332.2;681.4;254;3332.2;681.4;"23130-abs-S2M-2014-2020-1";NA;2015;"No, and we do not anticipate setting one in the next 2 years";99.5274037807698;"Scope 2";"";"S2M";"absolute";6536;6536;0;681.4;0;1;653.6;1634;681.4
"S12M";28692;"West Pharmaceutical Services";"United States of America";"Global";"Medical equipment & supplies";"Biotech, health care & pharma";"Health care supplies";2018;10;2023;137906;137906;NA;2019;NA;NA;NA;1;100;"Scope 1+2 (market-based)";27987;NA;NA;27987;NA;NA;"28692-abs-S12M-2018-2023-1";NA;2019;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";27.2214406914855;"Scope 1+2";"S1";"S2M";"absolute";137906;137906;27987;NA;1;1;124115.4;135147.88;135147.88
"S12L";28853;"DAVEY TREE EXPERT";"United States of America";"Global";"Energy utility networks";"Infrastructure";"Electricity networks";2017;35;2022;71.9;NA;NA;2019;NA;NA;NA;1;100;"Scope 1+2 (location-based)";779000;NA;NA;779000;NA;NA;"28853-abs-S12L-2017-2022-1";NA;2017;"No, and we do not anticipate setting one in the next 2 years";-295.25134114842;"Scope 1+2";"S1";"S2L";"absolute";71.9;71.9;779000;NA;1;1;46.735;61.834;61.834
"S1";31303;"COFCO Malt (Dalian) Co., Ltd";"China";"Global";"Food & beverage processing";"Food, beverage & agriculture";"Grain & corn milling";2016;5;2026;250000;NA;NA;2019;249900;NA;NA;1;100;"Scope 1";NA;NA;NA;NA;NA;NA;"31303-abs-S1-2016-2026-1";NA;NA;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1";"S1";"";"absolute";250000;250000;NA;0;1;1;237500;246250;249900
"S12L";31416;"Aedifica SA";"Belgium";"Global";"Financial services";"Services";"REIT";2017;10;2025;NA;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";12041;11396;NA;12041;11396;NA;"31416-abs-S12L-2017-2025-1";"Company-wide";2018;"No, and we do not anticipate setting one in the next 2 years";NA;"Scope 1+2";"S1";"S2L";"absolute";NA;0;12041;11396;0.513760293552929;1;NA;NA;0
