"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"Base year emissions covered by target (metric tons CO2e)";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Scope_short";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"Pearson";"United Kingdom of Great Britain and Northern Ireland";"South Africa";"Specialized professional services";"Services";"Other professional services";2009;50;2020;210306;2776;NA;2017;1047;NA;NA;NA;100;"Scope 3: Waste generated in operations";183.02;10445.04;10445.04;15691;61047;54946.46;"14526-abs-S3-2009-2020-1";"S3";"Scope 3";"";"";"absolute";NA;NA;0;0;0;1;NA;NA;NA
"Pearson";"United Kingdom of Great Britain and Northern Ireland";"South Africa";"Specialized professional services";"Services";"Other professional services";2009;50;2020;210306;33164;NA;2017;21999;NA;NA;NA;100;"Scope 3: Business travel";183.02;10445.04;10445.04;15691;61047;54946.46;"14526-abs-S3-2009-2020-2";"S3";"Scope 3";"";"";"absolute";NA;NA;0;0;0;1;NA;NA;NA
"PepsiCo, Inc.";"United States of America";"South Africa";"Food & beverage processing";"Food, beverage & agriculture";"Other food processing";2015;20;2030;5568960;5568960;NA;2017;5448470;NA;13974.3489676918;0.0125466415342289;100;"Scope 1 +2 (market-based)";39230;29130;29130;3734520;1746370;1713950;"14605-abs-S12M-2015-2030-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";69871.7448384594;69871.744838459;39230;29130;0.57387361029842;1;55897.3958707672;68008.4983094334;68360.0000000001
"PepsiCo, Inc.";"United States of America";"South Africa";"Food & beverage processing";"Food, beverage & agriculture";"Other food processing";2015;20;2030;63000000;79397331;NA;2017;62817980;NA;NA;NA;100;"Scope 3 (upstream & downstream)";39230;29130;29130;3734520;1746370;1713950;"14605-abs-S3-2015-2030-1";"S3";"Scope 3";"";"";"absolute";NA;NA;0;0;0;1;NA;NA;NA
"Philip Morris International";"United States of America";"South Africa";"Tobacco";"Food, beverage & agriculture";"Tobacco products";2010;30;2020;914050;914050;NA;2017;629739;NA;NA;0.0063815976887846;100;"Scope 1 +2 (market-based)";2732;2174;2174;355789;412984;412984;"14712-abs-S12M-2010-2020-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";5833.09936743356;5833.09936743356;2732;2174;0.556869139828781;1;4083.16955720349;4608.14850027251;4018.74094693752
"Philip Morris International";"United States of America";"South Africa";"Tobacco";"Food, beverage & agriculture";"Tobacco products";2010;40;2030;914050;914050;NA;2017;629739;NA;NA;0.0063815976887846;100;"Scope 1 +2 (market-based)";2732;2174;2174;355789;412984;412984;"14712-abs-S12M-2010-2030-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";5833.09936743356;5833.09936743356;2732;2174;0.556869139828781;1;3499.85962046014;5016.46545599286;4018.74094693752
"Philip Morris International";"United States of America";"South Africa";"Tobacco";"Food, beverage & agriculture";"Tobacco products";2010;60;2040;914050;914050;NA;2017;629739;NA;NA;0.0063815976887846;100;"Scope 1 +2 (market-based)";2732;2174;2174;355789;412984;412984;"14712-abs-S12M-2010-2040-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";5833.09936743356;5833.09936743356;2732;2174;0.556869139828781;1;2333.23974697342;5016.46545599286;4018.74094693752
"Philip Morris International";"United States of America";"South Africa";"Tobacco";"Food, beverage & agriculture";"Tobacco products";2010;40;2030;7401498;NA;914050;2017;5149139;629739;NA;0.0063815976887846;100;"Scope 1+2 (market-based) +3 (upstream & downstream)";2732;2174;2174;355789;412984;412984;"14712-abs-S12M3-2010-2030-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";47233.3825303438;47233.3825303438;2732;2174;0.556869139828781;0.122299864113204;28340.0295182063;40620.7089760957;4018.74094693752
"QUALCOMM Inc.";"United States of America";"South Africa";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2014;30;2025;230637;230637;NA;2016;208477;NA;NA;0.000301339334105109;100;"Scope 1 +2 (market-based)";0;69.5;69.5;75349;155288;155288;"15419-abs-S12M-2014-2025-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";69.5;69.5;0;69.5;0;1;48.65;65.7090909090909;62.8223203562308
"Remgro";"South Africa";"South Africa";"Food & beverage processing";"Food, beverage & agriculture";"Animal processing";2015;10;2020;36816.38;409448.77;NA;2017;434343.06;NA;3681.638;1;9;"Scope 1";434343.06;387782.46;387782.46;434343.06;387782.46;387782.46;"15653-abs-S1-2015-2020-1";"S1";"Scope 1";"S1";"";"absolute";36816.38;36816.38;434343.06;0;1;1;33134.742;35343.7248;434343.06
