"company_name";"incorporation_country";"Country/Region";"sectors";"industries";"activities";"Base year";"% reduction from base year";"Target year";"Base year emissions covered by target (metric tons CO2e)";"BY_EM_100";"BY_EM_100_excl_scope3";"Inventory accounting year";"Inventory reporting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"T_ID";"Scope_short";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_excl_scope3_interpolated";"MRY_excl_scope3"
"Merck & Co., Inc.";"United States of America";"Finland";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2015;40;2025;1456100;1456100;NA;2015;2016;1264100;NA;503.77378576181;0.000864936793080506;100;"Scope 1 +2 (market-based)";800;500;500;"11765-abs-S12M-2015-2025-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";1259.43446440452;1259.43446440452;800;500;0.615384615384615;1;755.660678642715;1259.43446440452;1093.36660013307
"Metso";"Finland";"Finland";"Powered machinery";"Manufacturing";"Agriculture, construction & mining machinery, Industrial machinery";2009;20;2020;65144;65144;NA;2017;2018;96563;NA;476.019458550376;0.036535940266976;100;"Scope 2 (location-based)";0;3528.02;0;"11866-abs-S2L-2009-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";2380.09729275188;2380.09729275188;0;3528.02;0;1;1904.0778342015;2033.90132289706;3528.02
"Neste Oyj";"Finland";"Finland";"Chemicals, Oil & gas processing, Oil & gas retailing";"Fossil Fuels, Manufacturing";"Biofuel processing, Biofuels, Oil & gas marketing & retailing, Oil & gas refining";2014;2;2020;3586000;3586000;NA;2014;2015;2993000;NA;61845.8985943775;0.862324297188755;100;"Scope 1+2 (location-based)";3091950;0;0;"12937-abs-S12L-2014-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";3092294.92971888;3092294.92971887;3091950;0;1;1;3030449.0311245;3092294.92971887;2580936.62148594
"Neste Oyj";"Finland";"Finland";"Chemicals, Oil & gas processing, Oil & gas retailing";"Fossil Fuels, Manufacturing";"Biofuel processing, Biofuels, Oil & gas marketing & retailing, Oil & gas refining";2014;4;2025;3586000;3586000;NA;2014;2015;2993000;NA;123691.797188755;0.862324297188755;100;"Scope 1+2 (location-based)";3091950;0;0;"12937-abs-S12L-2014-2025-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";3092294.92971888;3092294.92971887;3091950;0;1;1;2968603.13253012;3092294.92971887;2580936.62148594
"Nissan Motor Co., Ltd.";"Japan";"Finland";"Financial services, Transportation equipment";"Manufacturing, Services";"Automobiles, Banks";2000;5;2030;135000000;NA;NA;2010;2010;195517342;3476342;2.79409767402044;0.0000232809447407376;100;"Scope 1+2 (location-based) +3 (downstream)";0;132;0;"13363-abs-S12L3-2000-2030-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";3142.92753999958;55.8819534804088;0;132;0;0.0177802233011126;53.0878558063884;54.9505875890686;80.9325260019052
"Nissan Motor Co., Ltd.";"Japan";"Finland";"Financial services, Transportation equipment";"Manufacturing, Services";"Automobiles, Banks";2000;50;2050;135000000;NA;NA;2010;2010;195517342;3476342;27.9409767402044;0.0000232809447407376;100;"Scope 1+2 (location-based) +3 (downstream)";0;132;0;"13363-abs-S12L3-2000-2050-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";3142.92753999958;55.8819534804088;0;132;0;0.0177802233011126;27.9409767402044;50.2937581323679;80.9325260019052
"Orkla ASA";"Norway";"Finland";"Chemicals, Financial services, Food & beverage processing, Metal smelting, refining & forming";"Food, beverage & agriculture, Manufacturing, Materials, Services";"Baked goods & cereals, Banks, Metal processing, Other food processing, Personal care & household products";2014;63;2025;218648;209648;NA;2017;2018;141449;NA;7325.200328599;0.0531781772935828;100;"Scope 1 +2 (market-based)";4945.5;3486.8;2576.5;"14057-abs-S12M-2014-2025-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";11627.3021088873;11627.3021088873;4945.5;2576.5;0.657471417176283;1;4302.1017802883;9629.52020108758;7521.99999999999
"Orkla ASA";"Norway";"Finland";"Chemicals, Financial services, Food & beverage processing, Metal smelting, refining & forming";"Food, beverage & agriculture, Manufacturing, Materials, Services";"Baked goods & cereals, Banks, Metal processing, Other food processing, Personal care & household products";2014;77;2040;218648;209648;NA;2017;2018;141449;NA;8953.02262384322;0.0531781772935828;100;"Scope 1 +2 (market-based)";4945.5;3486.8;2576.5;"14057-abs-S12M-2014-2040-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";11627.3021088873;11627.3021088873;4945.5;2576.5;0.657471417176283;1;2674.27948504408;10594.2610369054;7521.99999999999
"Prysmian SpA";"Italy";"Finland";"Construction, Electrical & electronic equipment, Metal products manufacturing";"Infrastructure, Manufacturing";"Electrical equipment, Energy infrastructure construction, Fabricated metal components";2016;15;2020;683562;683562;NA;2016;2017;649300;NA;1497.75;0.0146073070182368;100;"Scope 1+2 (location-based)";725;9260;0;"15309-abs-S12L-2016-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";9984.99999999998;9985;725;9260;0.0726089133700551;1;8487.25;9985;9484.52444694115
"Rolls-Royce";"United Kingdom of Great Britain and Northern Ireland";"Finland";"Powered machinery, Renewable energy equipment";"Manufacturing";"Engines & motors, Industrial machinery, Other renewable energy equipment";2014;50;2025;494000;851000;NA;2014;2015;715000;NA;672.108843537415;0.00272108843537415;70;"Scope 1+2 (location-based)";1000;1000;0;"15941-abs-S12L-2014-2025-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";1344.21768707483;1344.21768707483;1000;1000;0.5;1;672.108843537415;1344.21768707483;1945.57823129252
"Royal Bank of Scotland Group";"United Kingdom of Great Britain and Northern Ireland";"Finland";"Financial services";"Services";"Asset managers, Banks";2014;45;2020;512583;3005877;407231;2017;2018;2085217;243131;1.5154653904126;0.0000563482237970477;100;"Scope 1+2 (location-based) +3 (upstream)";3.2;10.5;0;"15949-abs-S12L3-2014-2020-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";28.8831415985621;3.36770086758356;3.2;10.5;0.233576642335766;0.135478264746029;1.85223547717096;2.60996817237726;13.7
"Scandic Hotels Group";"Sweden";"Finland";"Bars, hotels & restaurants";"Hospitality";"Hotels & lodging";2015;100;2020;3856.7;31406;NA;2017;2018;21100.8;NA;1746.85436476342;0.45294017288444;12.3;"Scope 2 (market-based)";32.3;13717.4;9557.4;"16406-abs-S2M-2015-2020-1";"S2M";"Scope 2";"";"S2M";"absolute";1746.85436476342;1746.85436476342;0;9557.4;0;1;0;1048.11261885805;9557.39999999999
"Skanska AB";"Sweden";"Finland";"Construction";"Infrastructure";"Non-residential building construction, Residential building construction, Transportation infrastructure & other construction";2015;50;2030;107283;387176;NA;2015;2016;346926;NA;1595.21310980019;0.0297384135380292;28;"Scope 1 +2 (market-based)";3864;4348;7650;"17149-abs-S12M-2015-2030-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";3190.42621960039;3190.42621960038;3864;7650;0.33559145388223;1;1595.21310980019;3190.42621960038;10317.0288550943
"Skanska AB";"Sweden";"Finland";"Construction";"Infrastructure";"Non-residential building construction, Residential building construction, Transportation infrastructure & other construction";2015;100;2045;107283;387176;NA;2015;2016;346926;NA;3190.42621960039;0.0297384135380292;28;"Scope 1 +2 (market-based)";3864;4348;7650;"17149-abs-S12M-2015-2045-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";3190.42621960039;3190.42621960039;3864;7650;0.33559145388223;1;0;3190.42621960039;10317.0288550943
"SSAB";"Sweden";"Finland";"Construction, Metal smelting, refining & forming";"Infrastructure, Materials";"Building sub-contractors, Iron & steel";2014;3;2020;9577730;9597696;NA;2014;2015;10424208;NA;115292.807435191;0.40125307157051;100;"Scope 1";3851105;102600;0;"17583-abs-S1-2014-2020-1";"S1";"Scope 1";"S1";"";"absolute";3843093.58117302;3843093.58117303;3851105;0;1;1;3727800.77373784;3843093.58117303;4182745.47868988
