"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S12M";8838;"IGM Financial Inc.";"Canada";"Canada";"Financial services";"Services";"Asset managers";2013;40;2020;2331;2331;NA;2019;840;NA;932.4;1;100;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"8838-abs-S12M-2013-2020-1";"Company-wide";2015;"No, but we anticipate setting one in the next 2 years";159.90990990991;"Scope 1+2";"S1";"S2M";"absolute";2331;2331;NA;NA;0.4;1;1398.6;1531.8;840
"S12M";8838;"IGM Financial Inc.";"Canada";"Canada";"Financial services";"Services";"Asset managers";2013;50;2036;2331;2331;NA;2019;840;NA;1165.5;1;100;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"8838-abs-S12M-2013-2036-1";"Company-wide";2015;"No, but we anticipate setting one in the next 2 years";127.927927927928;"Scope 1+2";"S1";"S2M";"absolute";2331;2331;NA;NA;0.4;1;1165.5;2026.95652173913;840
"S12M";9411;"Investor AB";"Sweden";"Sweden";"Financial services";"Services";"Asset managers";2016;50;2030;145;145;NA;2019;130;NA;NA;1;100;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"9411-abs-S12M-2016-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";20.6896551724138;"Scope 1+2";"S1";"S2M";"absolute";145;145;NA;NA;0.4;1;72.5;129.464285714286;130
"S12L";10109;"KeyCorp";"United States of America";"United States of America";"Financial services";"Services";"Banks";2016;40;2030;63538;63539;NA;2019;55140.67;NA;25415.2;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"10109-abs-S12L-2016-2030-1";"Company-wide";2017;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";33.0405820139129;"Scope 1+2";"S1";"S2L";"absolute";63538;63538;NA;NA;0.4;1;38122.8;58091.8857142857;55140.67
"S12L";10109;"KeyCorp";"United States of America";"United States of America";"Financial services";"Services";"Banks";2016;80;2050;63538;63539;NA;2019;55140.67;NA;50830.4;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"10109-abs-S12L-2016-2050-1";"Company-wide";2017;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";16.5202910069565;"Scope 1+2";"S1";"S2L";"absolute";63538;63538;NA;NA;0.4;1;12707.6;59052.9647058824;55140.67
"S12L";10338;"KT Corporation";"Republic of Korea";"South Korea";"Media, telecommunications & data center services";"Services";"Telecommunications services";2007;35;2030;1276872;1276872;NA;2019;1134307;NA;446905.2;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"10338-abs-S12L-2007-2030-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";31.9005014933816;"Scope 1+2";"S1";"S2L";"absolute";1276872;1276872;NA;NA;0.4;1;829966.8;1043704.06956522;1134307
"S12L";10338;"KT Corporation";"Republic of Korea";"South Korea";"Media, telecommunications & data center services";"Services";"Telecommunications services";2007;50;2040;1276872;1276872;NA;2019;1134307;NA;638436;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"10338-abs-S12L-2007-2040-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";22.3303510453671;"Scope 1+2";"S1";"S2L";"absolute";1276872;1276872;NA;NA;0.4;1;638436;1044713.45454545;1134307
"S12M";11842;"Michelin";"France";"Other: world";"Light manufacturing";"Manufacturing";"Tires";2010;15;2020;4067000;4066764;NA;2019;2919165;NA;NA;1;100;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"11842-abs-S12M-2010-2020-1";"Company-wide";2016;"No, but we are reporting another target that is science-based";188.154249651668;"Scope 1+2";"S1";"S2M";"absolute";4067000;4067000;NA;NA;0.4;1;3456950;3517955;2919165
"S12M";11842;"Michelin";"France";"Other: world";"Light manufacturing";"Manufacturing";"Tires";2010;38;2030;3877273;3904093.44;NA;2019;2802398.4;NA;NA;1;96;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"11842-abs-S12M-2010-2030-1";"Company-wide";2019;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";65.028612690034;"Scope 1+2";"S1";"S2M";"absolute";3877273;3877273;NA;NA;0.4;1;2403909.26;3214259.317;2802398.4
"S12M";11842;"Michelin";"France";"Other: world";"Light manufacturing";"Manufacturing";"Tires";2010;100;2050;3877273;3904093.44;NA;2019;2802398.4;NA;NA;1;96;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"11842-abs-S12M-2010-2050-1";"Company-wide";2015;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";24.7108728222129;"Scope 1+2";"S1";"S2M";"absolute";3877273;3877273;NA;NA;0.4;1;0;3004886.575;2802398.4
