"account_id";"Target reference number";"check_percent_alloc_S1";"check_percent_alloc_S2L";"check_percent_alloc_S2M"
20591;"Abs 1";0.181937720399259;1.14049440847557;0.900138217000691
22228;"Abs 1";0.447942379250636;1.2143470663152;NA
22287;"Abs 1";1.10308994708995;1.02580384615385;NA
23132;"Abs 3";1.00000006509315;1.54483285829774;NA
30119;"Abs 1";0.228451915672029;0.20453615267129;NA
31538;"Abs 2";0.304237127113813;1.00009471906556;0
31538;"Abs 3";0.304237127113813;1.00009471906556;0
31831;"Abs 1";0.892051991480722;0;NA
32296;"Abs 3";0.997266809525735;0.783532529986753;NA
32296;"Abs 6";0.997266809525735;0.783532529986753;NA
32711;"Abs 1";0.785052096443119;NA;NA
32739;"Abs 1";0.885145681581686;1;NA
36702;"Abs 1";0.99998746583293;1.00000003370719;0.0009999938335849
36702;"Abs 3";0.99998746583293;1.00000003370719;0.0009999938335849
39565;"Abs 1";0.71041092014994;0.999990181832463;0.803170743568545
41143;"Abs 1";1.33756051640667;1.86590401516734;NA
41143;"Abs 2";1.33756051640667;1.86590401516734;NA
44164;"Abs 1";0.999995941509028;1.29275879543274;0.77354690197583
44164;"Abs 2";0.999995941509028;1.29275879543274;0.77354690197583
44164;"Abs 3";0.999995941509028;1.29275879543274;0.77354690197583
50021;"Abs 1";NA;1.46188035834698;NA
50021;"Abs 2";NA;1.46188035834698;NA
50021;"Abs 3";NA;1.46188035834698;NA
50021;"Abs 4";NA;1.46188035834698;NA
50021;"Abs 5";NA;1.46188035834698;NA
50021;"Abs 6";NA;1.46188035834698;NA
51285;"Abs 1";3;NA;NA
51294;"Abs 1";0.608818228500659;0.999972612869213;NA
51294;"Abs 2";0.608818228500659;0.999972612869213;NA
53675;"Abs 1";1;1.00000187155867;1000.00451114115
55832;"Abs 1";0.742238845957681;0;NA
56175;"Abs 1";9.32085025909637;1.00000433617303;NA
56212;"Abs 1";4;4;NA
56212;"Abs 2";4;4;NA
58301;"Abs 2";NA;0.863184100536174;NA
59325;"Abs 1";0.999997867553764;0.001;1
73955;"Abs 1";0.706556531662796;1.00000019082149;NA
828244;"Abs 1";0.537248640287411;0.999670271696122;NA
829700;"Abs 1";1.13733239757111;NA;NA
831914;"Abs 1";0.462294134643167;1;NA
832380;"Abs 1";2;2;NA
837251;"Abs 2";0.38955007256894;NA;NA
837728;"Abs 1";0.0876588021778584;0;NA
838027;"Abs 1";0.0359088075480326;1;NA
846796;"Abs 1";0.0319233838786911;NA;NA
