"account_id";"company_name";"primary_industry";"Scope";"% emissions in Scope";"BY_covered";"BY_Scope_exclS3";"BY_Scope";"MRY_Scope";"MRY_Scope_exclS3";"MRY_Covered";"% reduction from base year";"Target year";"Target status";"Target coverage";"MRY_inventory";"MRY_target";"TargetActive";"Quantifiable";"Scope1_2";"Full_coverage";"Include"
550;"ANA Holdings Inc.";"Transportation services";"Scope 1";35;4400000;NA;NA;12373420;NA;3996154;0;2020;"Achieved";"Business division";4330697;3996154;FALSE;TRUE;TRUE;FALSE;FALSE
569;"Alma Media Corporation";"Services";"Scope 1+2 (market-based)";98;1414;NA;1414;731;NA;731;21;2025;"Achieved";"Company-wide";716.38;731;TRUE;TRUE;TRUE;TRUE;TRUE
573;"Alpha Bank";"Services";"Scope 1+2 (location-based)";100;38454;NA;40930.87;34431;NA;34431;10;2020;"Achieved";"Country/region";34431;34431;FALSE;TRUE;TRUE;TRUE;FALSE
582;"The Allstate Corporation";"Services";"Scope 1+2 (location-based)";66;188715;NA;236706;98667;NA;99667;20;2020;"Achieved";"Company-wide";65120.22;99667;FALSE;TRUE;TRUE;FALSE;FALSE
586;"Alliant Energy Corporation";"Power generation";"Scope 1";100;21597490;NA;21597490;12624301;NA;12494252;50;2030;"Revised";"Company-wide";12624301;12494252;TRUE;TRUE;TRUE;TRUE;TRUE
586;"Alliant Energy Corporation";"Power generation";"Scope 1";100;21597490;NA;21597490;12624301;NA;12494252;80;2040;"Revised";"Company-wide";12624301;12494252;TRUE;TRUE;TRUE;TRUE;TRUE
586;"Alliant Energy Corporation";"Power generation";"Scope 1";100;21597490;NA;21597490;12624301;NA;12494252;100;2050;"Revised";"Company-wide";12624301;12494252;TRUE;TRUE;TRUE;TRUE;TRUE
600;"AIB Group Plc";"Services";"Scope 1+2 (location-based)";100;28855.7;NA;28856;13738;NA;13738;57;2025;"Underway";"Company-wide";13738;13738;TRUE;TRUE;TRUE;TRUE;TRUE
600;"AIB Group Plc";"Services";"Scope 1+2 (location-based)";100;28855.7;NA;28856;13738;NA;13738;78;2036;"Underway";"Company-wide";13738;13738;TRUE;TRUE;TRUE;TRUE;TRUE
622;"Alstom";"Manufacturing";"Scope 1+2 (market-based)";78;124098;NA;124098;99371.186;NA;99371;25;2025;"New";"Company-wide";77509.52508;99371;TRUE;TRUE;TRUE;FALSE;FALSE
625;"alstria office REIT-AG";"Services";"Scope 1+2 (market-based)";100;17.3;NA;37.7;40.3;NA;13.8;30;2030;"Underway";"Company-wide";40.3;13.8;TRUE;TRUE;TRUE;TRUE;TRUE
628;"Altria Group, Inc.";"Food, beverage & agriculture";"Scope 1+2 (market-based)";100;337007;NA;337007;280968;NA;280968;55;2030;"New";"Company-wide";280968;280968;TRUE;TRUE;TRUE;TRUE;TRUE
631;"ALPLA";"Manufacturing";"Scope 1+2 (location-based) +3 (upstream)";100;4874675;768153;4358605.85;4120703.5;622552;4695498;10;2022;"Underway";"Company-wide";622552;4695498;TRUE;TRUE;TRUE;TRUE;TRUE
638;"Alten";"Services";"Scope 1+2 (market-based)";72;12580;NA;10580;7029;NA;10173;16;2025;"Underway";"Company-wide";5060.88;10173;TRUE;TRUE;TRUE;FALSE;FALSE
638;"Alten";"Services";"Scope 1+2 (market-based)";72;12580;NA;10580;7029;NA;10173;36;2035;"Underway";"Company-wide";5060.88;10173;TRUE;TRUE;TRUE;FALSE;FALSE
641;"Amer Sports";"Manufacturing";"Scope 1+2 (market-based) +3 (upstream)";90;NA;41527;54348.87;1349353.624;30620;NA;30;2030;"Underway";"Business division";27558;0;TRUE;TRUE;TRUE;TRUE;TRUE
660;"American Airlines Group Inc";"Transportation services";"Scope 1";95;39086313;NA;41143487;19834198;NA;18842488;1.25;2025;"New";"Company-wide";18842488.1;18842488;TRUE;TRUE;TRUE;TRUE;TRUE
661;"Ameren Corporation";"Infrastructure";"Scope 1";1;24413651;NA;24413651;25967235;NA;276949;0;2020;"Achieved";"Business division";259672.35;276949;FALSE;TRUE;TRUE;FALSE;FALSE
661;"Ameren Corporation";"Infrastructure";"Scope 1";1;24413651;NA;24413651;25967235;NA;343466;0;2020;"Achieved";"Business division";259672.35;343466;FALSE;TRUE;TRUE;FALSE;FALSE
661;"Ameren Corporation";"Infrastructure";"Scope 1";1;24413651;NA;24413651;25967235;NA;22808;0;2020;"Achieved";"Business division";259672.35;22808;FALSE;TRUE;TRUE;FALSE;FALSE
661;"Ameren Corporation";"Infrastructure";"Scope 1";50;38113792;NA;NA;25967235;NA;11882984;50;2030;"Underway";"Company-wide";12983617.5;11882984;TRUE;TRUE;TRUE;FALSE;FALSE
661;"Ameren Corporation";"Infrastructure";"Scope 1";85;38113792;NA;NA;25967235;NA;11882984;85;2040;"Underway";"Company-wide";22072149.75;11882984;TRUE;TRUE;TRUE;FALSE;FALSE
661;"Ameren Corporation";"Infrastructure";"Scope 1";100;38113792;NA;NA;25967235;NA;11882984;100;2050;"Underway";"Company-wide";25967235;11882984;TRUE;TRUE;TRUE;TRUE;TRUE
689;"American Electric Power Company, Inc.";"Infrastructure";"Scope 1";99;167000000;NA;167000000;49271372;NA;44000000;80;2030;"Underway";"Company-wide";48778658.28;44000000;TRUE;TRUE;TRUE;TRUE;TRUE
699;"American International Group, Inc. (AIG)";"Services";"Scope 1+2 (location-based)";23;3171.2;NA;NA;77262;NA;1574;20;2020;"Achieved";"Country/region";17770.26;1574;FALSE;TRUE;TRUE;FALSE;FALSE
706;"American Tower Corp.";"Infrastructure";"Scope 1";26;837278;NA;837278;596969;NA;596969;60;2027;"Underway";"Company-wide";155211.94;596969;TRUE;TRUE;TRUE;FALSE;FALSE
710;"AmerisourceBergen Corp.";"Retail";"Scope 2 (location-based)";100;85011.49;NA;85011.49;74293.623;NA;74392.6;3;2021;"Revised";"Company-wide";74293.623;74392.6;TRUE;TRUE;TRUE;TRUE;TRUE
710;"AmerisourceBergen Corp.";"Retail";"Scope 1+2 (location-based)";100;120311;NA;120311.363;107655.228;NA;107655;5;2022;"Achieved";"Company-wide";107655.228;107655;TRUE;TRUE;TRUE;TRUE;TRUE
716;"Amgen, Inc.";"Biotech, health care & pharma";"Scope 1+2 (market-based)";100;296314;NA;296314;274993;NA;274993;100;2027;"Underway";"Company-wide";274993;274993;TRUE;TRUE;TRUE;TRUE;TRUE
