"company_name";"Country/Region";"sectors";"industries";"activities";"target_type";"Scope";"perc_scope1";"Base year_Target_1";"Target year_Target_1";"BaseYearEmissions_excl_scope3_Target_1";"MRY_excl_scope3_Target_1";"% reduction from base year_Target_1";"Base year_Target_2";"Target year_Target_2";"BaseYearEmissions_excl_scope3_Target_2";"MRY_excl_scope3_Target_2";"% reduction from base year_Target_2";"Base year_Target_3";"Target year_Target_3";"BaseYearEmissions_excl_scope3_Target_3";"MRY_excl_scope3_Target_3";"% reduction from base year_Target_3";"Base year_Target_4";"Target year_Target_4";"BaseYearEmissions_excl_scope3_Target_4";"MRY_excl_scope3_Target_4";"% reduction from base year_Target_4"
"Duke Energy Corporation";"United States of America";"Renewable power generation, Thermal power generation";"Power generation";"CCGT generation, Coal generation, Hydro generation";"absolute";"Scope 1";1;2005;2020;138000000;95213400;17;2005;2030;138000000;95213400;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Duratex S/A";"Brazil";"Wood & rubber products";"Materials";"Finished wood products";"absolute";"Scope 1";1;2012;2025;264727.815392552;156011.216503227;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DW Morgan, LLC";"United States of America";"Intermodal transport & logistics";"Transportation services";"Logistics - 3rd party";"absolute";"Scope 1";1;2012;2020;4548;2998;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecorodovias Infraestrutura e Logística S.A";"Brazil";"Construction, Land & property ownership & development";"Infrastructure";"Infrastructure upkeep & management, Transportation infrastructure & other construction";"absolute";"Scope 1";1;2015;2020;9381.31;8236.66;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Emera Inc.";"Canada";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks, Gas utilities, Hydro generation";"absolute";"Scope 1";1;2005;2020;3312932.09048672;7011051;26;2005;2030;3312932.09048671;7011051;56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Emera Inc.";"United States of America";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks, Gas utilities, Hydro generation";"absolute";"Scope 1";1;2005;2020;6394499.77832785;13532473;26;2005;2030;6394499.77832782;13532473;56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Endesa";"Brazil";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks, Hydro generation";"absolute";"Scope 1";1;2005;2020;200417.412153336;136076.638916065;47;2005;2030;200417.412153335;136076.638916065;60;2005;2040;200417.412153335;136076.638916065;80;2010;2050;347462.779876737;507241.765462884;100
"Endesa";"Ireland";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks, Hydro generation";"absolute";"Scope 1";1;2005;2020;625116.628429179;424433.03110862;47;2005;2030;625116.62842918;424433.03110862;60;2005;2040;625116.62842918;424433.03110862;80;2010;2050;169717.775141459;247761.627659015;100
"Endesa";"Portugal";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks, Hydro generation";"absolute";"Scope 1";1;2005;2020;1248813.35044683;847901.993826275;47;2005;2030;1248813.35044683;847901.993826275;60;2005;2040;1248813.35044683;847901.993826275;80;2010;2050;388735.007925954;567492.81689262;100
"Endesa";"Spain";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks, Hydro generation";"absolute";"Scope 1";1;2005;2020;33757688.4017415;22920327.7595976;47;2005;2030;33757688.4017413;22920327.7595976;60;2005;2040;33757688.4017414;22920327.7595976;80;2010;2050;14322493.6891532;20908619.2981428;100
"Eni SpA";"Italy";"Chemicals, Energy utility networks, Oil & gas extraction & production, Oil & gas processing, Thermal power generation";"Fossil Fuels, Infrastructure, Manufacturing, Power generation";"CCGT generation, Electricity networks, Oil & gas extraction, Oil & gas refining, Other base chemicals";"absolute";"Scope 1";1;2014;2025;2354561.65057393;18788848.1662874;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Equinor";"Brazil";"Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels";"Oil & gas extraction, Oil & gas refining";"absolute";"Scope 1";1;2007;2020;6428.03329800585;9437.15610589442;11;2016;2030;421731.043699999;438509.339031514;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Equinor";"Canada";"Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels";"Oil & gas extraction, Oil & gas refining";"absolute";"Scope 1";1;2007;2020;48551.0966812575;71279.0767022847;11;2016;2030;472260.330949417;491048.901116106;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Equinor";"Denmark";"Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels";"Oil & gas extraction, Oil & gas refining";"absolute";"Scope 1";1;2007;2020;401775.001418929;589855.906473391;11;2016;2030;464250.316730555;482720.213690277;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Equinor";"Estonia";"Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels";"Oil & gas extraction, Oil & gas refining";"absolute";"Scope 1";1;2007;2020;520.512473176457;764.177352030097;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Equinor";"Germany";"Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels";"Oil & gas extraction, Oil & gas refining";"absolute";"Scope 1";1;2016;2030;10688.6659691545;11113.9075941414;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Equinor";"Latvia";"Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels";"Oil & gas extraction, Oil & gas refining";"absolute";"Scope 1";1;2007;2020;1744.89976803472;2561.73089600998;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Equinor";"Lithuania";"Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels";"Oil & gas extraction, Oil & gas refining";"absolute";"Scope 1";1;2007;2020;846.572133220233;1242.87367624213;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Equinor";"Poland";"Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels";"Oil & gas extraction, Oil & gas refining";"absolute";"Scope 1";1;2007;2020;15317.4103789725;22487.8724460334;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Equinor";"Sweden";"Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels";"Oil & gas extraction, Oil & gas refining";"absolute";"Scope 1";1;2007;2020;8292.71008401584;12174.7346312068;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Equinor";"United Kingdom";"Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels";"Oil & gas extraction, Oil & gas refining";"absolute";"Scope 1";1;2016;2030;107.607243914185;111.888328138772;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Equinor";"United States of America";"Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels";"Oil & gas extraction, Oil & gas refining";"absolute";"Scope 1";1;2007;2020;27576.8099780334;40486.2029488901;11;2016;2030;611361.90928777;635684.545294065;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Finnair";"Finland";"Air transport, Entertainment services";"Hospitality, Transportation services";"Air freight, Entertainment services, Passenger airlines";"absolute";"Scope 1";1;2005;2050;1860000;2903408;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FirstEnergy Corporation";"United States of America";"Energy utility networks, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks";"absolute";"Scope 1";1;2005;2045;86160683.369085;42354899;90;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"Belgium";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;43.0471410227593;38.0000000000001;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"Brazil";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;10076.4294578274;8895.00000000001;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"Canada";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;5572.33912344611;4919;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"China";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;14245.2052200315;12575;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"France";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;24943.5525836877;22019;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"Germany";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;150.664993579657;133;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"Greece";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;1135.08513960012;1002;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"India";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;1517.97813080256;1340;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"Ireland";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;20.3907510107806;18;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"Mexico";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;2403.84298027092;2122;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"Spain";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;6586.21257648214;5813.99999999999;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"Sweden";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;41.9143215221604;36.9999999999999;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
