"account_id";"company_name";"primary_industry";"Scope";"% emissions in Scope";"BY_covered";"BY_Scope_exclS3";"BY_Scope";"MRY_Scope";"MRY_Scope_exclS3";"% reduction from base year";"Target year";"Target status";"% achieved (emissions)";"Target coverage";"MRY_inventory";"MRY_target";"TargetActive";"Quantifiable";"Scope1_2";"Include"
9960;"Kagome Co., Ltd.";"Food, beverage & agriculture";"Scope 1 +2 (market-based)";10;160532;NA;160531;162390;NA;21;2030;"New";0;"Unknown";16239;160532;TRUE;TRUE;TRUE;TRUE
9962;"Kajima Corporation";"Infrastructure";"Scope 1 +2 (market-based)";95;468436;NA;NA;288120;NA;17;2017;"Replaced";100;"Unknown";273714;388801.88;FALSE;TRUE;TRUE;FALSE
9962;"Kajima Corporation";"Infrastructure";"Scope 1 +2 (market-based)";95;228300;NA;NA;288120;NA;30;2030;"Replaced";0;"Unknown";273714;228300;FALSE;TRUE;TRUE;FALSE
9962;"Kajima Corporation";"Infrastructure";"Scope 1 +2 (market-based)";95;228300;NA;NA;288120;NA;80;2050;"Replaced";0;"Unknown";273714;228300;FALSE;TRUE;TRUE;FALSE
9962;"Kajima Corporation";"Infrastructure";"Scope 1 +2 (market-based)";5;15584;NA;NA;288120;NA;3;2017;"Replaced";100;"Unknown";14406;15116.48;FALSE;TRUE;TRUE;FALSE
9979;"KB Financial Group";"Services";"Scope 1+2 (location-based)";100;137713.65;NA;137714;131501.19;NA;10;2025;"Underway";45.1;"Unknown";131501.19;131502.764385;TRUE;TRUE;TRUE;TRUE
9979;"KB Financial Group";"Services";"Scope 1+2 (location-based)";100;137713.65;NA;137714;131501.19;NA;35.96;2036;"Underway";12.54;"Unknown";131501.19;131503.612701084;TRUE;TRUE;TRUE;TRUE
9988;"Kawasaki Kisen Kaisha, Ltd.";"Transportation services";"Scope 2 (location-based)";1.6;499;NA;31025;30505;NA;1;2017;"Expired";100;"Unknown";488.08;494.01;FALSE;TRUE;TRUE;FALSE
9988;"Kawasaki Kisen Kaisha, Ltd.";"Transportation services";"Scope 2 (location-based)";1.4;430;NA;30505;30505;NA;1;2018;"New";50;"Unknown";427.07;427.85;TRUE;TRUE;TRUE;TRUE
9992;"Kawasaki Heavy Industries, Ltd.";"Manufacturing";"Scope 1 +2 (market-based)";65;345265;NA;NA;395635;NA;6.5;2031;"Underway";19;"Unknown";257162.75;341000.97725;TRUE;TRUE;TRUE;TRUE
9993;"KBC Group";"Services";"Scope 1+2 (market-based) +3 (upstream)";81.16;102701.25;98155.36;94501.43;94183.66;69280.96;20;2020;"Underway";100;"Unknown";56228.427136;82161;TRUE;TRUE;TRUE;TRUE
9995;"KDDI Corporation";"Services";"Scope 1 +2 (market-based)";90;957732;NA;NA;1028785;NA;7;2030;"Underway";0;"Unknown";925906.5;957732;TRUE;TRUE;TRUE;TRUE
10056;"Kellogg Company";"Food, beverage & agriculture";"Scope 1+2 (location-based)";100;1350972;NA;1357137;1305779.5;NA;65;2050;"Underway";23.36;"Unknown";1305779.5;1145840.41152;TRUE;TRUE;TRUE;TRUE
