"Country/Region";"account_id";"company_name";"primary_sector";"primary_industry";"primary_activity";"Target year";"target_type";"Scope";"Scope_short";"incorporation_country";"Base year";"% reduction from base year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope1";"Scope2";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"Global";50593;"Grupo Aeroportuario del Sureste SAB de CV";"Industrial support services";"Services";"Transportation support services";2022;"absolute";"Scope 1+2";"S12M";"Mexico";2018;50;59851;NA;NA;2019;NA;NA;0;1;64;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"50593-abs-S12M-2018-2022-1";"Country/region";2018;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";-13.2428865014787;"S1";"S2M";59851;59851;NA;NA;1;1;29925.5;52369.625;52369.625
"Global";51086;"Valmet";"Powered machinery";"Manufacturing";"Industrial machinery";2025;"absolute";"Scope 1+2";"S12L";"Finland";2009;40;123644;123643;NA;2019;86600;NA;0;1;100;"Scope 1+2 (location-based)";23730;76100;NA;23730;76100;NA;"51086-abs-S12L-2009-2025-1";"Company-wide";2016;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";74.9005208501828;"S1";"S2L";123644;123644;23730;76100;0.23770409696484;1;74186.4;92733;86600
"Global";51086;"Valmet";"Powered machinery";"Manufacturing";"Industrial machinery";2030;"absolute";"Scope 1+2";"S12L";"Finland";2009;60;123644;123643;NA;2019;86600;NA;0;1;100;"Scope 1+2 (location-based)";23730;76100;NA;23730;76100;NA;"51086-abs-S12L-2009-2030-1";"Company-wide";2016;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";49.9336805667885;"S1";"S2L";123644;123644;23730;76100;0.23770409696484;1;49457.6;88317.1428571429;86600
"Global";51086;"Valmet";"Powered machinery";"Manufacturing";"Industrial machinery";2040;"absolute";"Scope 1+2";"S12L";"Finland";2009;80;123644;123643;NA;2019;86600;NA;0;1;100;"Scope 1+2 (location-based)";23730;76100;NA;23730;76100;NA;"51086-abs-S12L-2009-2040-1";"Company-wide";2016;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";37.4502604250914;"S1";"S2L";123644;123644;23730;76100;0.23770409696484;1;24728.8;91735.8709677419;86600
"Global";51131;"KAIBO";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";2021;"absolute";"Scope 1+2";"S12L";"China";2018;10;21195.84;0;NA;2019;0;NA;0;1;0;"Scope 1+2 (location-based)";487.09;18683.62;NA;487.09;18683.62;NA;"51131-abs-S12L-2018-2021-1";"Company-wide";2018;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";95.5437482071954;"S1";"S2L";21195.84;21195.84;487.09;18683.62;0.0254080313144375;1;19076.256;20489.312;20489.312
"Global";51146;"Girteka";"Road transport";"Transportation services";"Road freight";2025;"absolute";"Scope 1";"S1";"Lithuania";2018;20;659514;659514;NA;2019;846911;NA;0;1;100;"Scope 1";NA;NA;NA;NA;NA;NA;"51146-abs-S1-2018-2025-1";"Company-wide";2020;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";-142.072040927107;"S1";"";659514;659514;NA;0;1;1;527611.2;640670.742857143;846911
"Global";51273;"DIAM";"Specialized professional services";"Services";"Other professional services";2030;"absolute";"Scope 1+2+3";"S12M3";"France";2017;25;168228;93532;8531;2019;201369;4947;1033.20758905293;1;100;"Scope 1+2 (market-based) +3 (upstream & downstream)";3431;6654;1516;3431;6654;1516;"51273-abs-S12M3-2017-2030-1";"Company-wide";2018;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";-78.8001997289393;"S1";"S2M";168228;4132.83035621172;3431;1516;0.693551647463109;0.0912094256511141;3099.62276715879;3973.87534251127;4947
"Global";51273;"DIAM";"Specialized professional services";"Services";"Other professional services";2030;"absolute";"Scope 2";"S2M";"France";2016;95;5781;5266.8;NA;2019;1364.4;NA;0;1;90;"Scope 2 (market-based)";3431;6654;1516;3431;6654;1516;"51273-abs-S2M-2016-2030-1";"Company-wide";2016;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";77.6591192563661;"";"S2M";5781;5781;0;1516;0;1;289.05;4604.15357142857;1364.4
"Global";51285;"Media6";"Metal products manufacturing";"Manufacturing";"Metal containers & packaging";2025;"absolute";"Scope 1+2+3";"S12L3";"France";2017;5;10340;NA;698.3816;2019;NA;NA;0;1;21.77;"Scope 1+2 (location-based) +3 (upstream & downstream)";1361;NA;NA;1361;NA;NA;"51285-abs-S12L3-2017-2025-1";"Company-wide";2017;"No, but we anticipate setting one in the next 2 years";101.547388781431;"S1";"S2L";10340;10340;1361;NA;1;1;9823;10210.75;10210.75
"Global";51294;"Sanying Packaging (Jiangsu) Co., Ltd";"Metal products manufacturing";"Manufacturing";"Metal containers & packaging";2026;"absolute";"Scope 1";"S1";"China";2016;4.67;462.15;NA;NA;2020;701.575288;NA;0;1;35.32;"Scope 1";1986.34;11684.32;NA;1986.34;11684.32;NA;"51294-abs-S1-2016-2026-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";116.530108669539;"S1";"";462.15;462.15;1986.34;0;1;1;440.567595;453.517038;701.575288
