"account_id";"incorporation_country";"Target reference number";"Scope";"% emissions in Scope";"BY";"MRY";"TR";"TY";"TYset";"source_year";"BY_EM";"MRY_EM";"TYSet";"TargetActive";"Quantifiable";"Scope1_2";"Full_coverage";"Include";"TYset_EM";"TY_EM";"Timelapsed";"reduction_required";"reduction_achieved";"on_track";"target_year_group";"target_completed";"progress_rate";"maturity";"maturity_expired";"maturity_remaining";"annual_ambition_MRY_g";"annual_ambition_BY_g";"annual_progress_g";"annual_ambition_MRY_a";"annual_ambition_BY_a";"annual_progress_BY_a";"annual_progress_TYset_a";"diff_required_achieved_a";"net_zero"
394;"Japan";"Abs 1";"Scope 1+2 (market-based)";100;2018;2021;50;2030;2020;2021;2212692;1910600;2020;TRUE;TRUE;TRUE;TRUE;TRUE;2011297.33333333;1106346;0.25;276586.5;302092;TRUE;"2";-42.0943159217;109.22152744259;12;3;9;5.89001839914456;5.61256873183065;4.77530230943206;4.67714621352222;4.16666666666667;4.55089697677459;5.00658613047764;-0.510479546855555;FALSE
399;"Japan";"Abs 1";"Scope 1+2 (market-based)";100;2013;2021;35;2030;2018;2021;2771751.18;2485008.77;2018;TRUE;TRUE;TRUE;TRUE;TRUE;2592537.17375;1801638.267;0.470588235294118;456523.723764706;286742.41;FALSE;"2";-27.4997219828725;62.8099691370669;17;8;9;3.5100268007759;2.50218042179856;1.35576467269825;3.05552466476361;2.05882352941176;1.2931464234102;1.38253760111585;-0.996701135351847;FALSE
399;"Japan";"Abs 2";"Scope 1+2 (market-based)";100;2013;2021;25;2025;2020;2021;2771751.18;2485008.77;2020;TRUE;TRUE;TRUE;TRUE;TRUE;2520851.57125;2078813.385;0.666666666666667;461958.53;286742.41;FALSE;"1";-16.3458330571606;62.0710283236896;12;8;4;4.36389180371682;2.36884242226068;1.35576467269825;4.08645826429015;2.08333333333333;1.2931464234102;1.42185290315315;-2.00312493095681;FALSE
399;"Japan";"Abs 3";"Scope 1+2 (location-based) +3 (upstream & downstream)";100;2013;2021;25;2030;2019;2021;15500988.46;11954614.77;2019;TRUE;TRUE;TRUE;TRUE;TRUE;12841208.1925;11625741.345;0.470588235294118;1823645.70117647;3546373.69;TRUE;"2";-2.75101650138743;194.46615577314;17;8;9;0.309471878855339;1.67800940490742;3.19517056149271;0.305668500154159;1.47058823529412;2.85979640842853;3.45214176582629;1.16491973513996;FALSE
399;"Japan";"Abs 4";"Scope 1+2 (market-based)";100;2013;2021;100;2050;2018;2021;2771751.18;2485008.77;2018;TRUE;TRUE;TRUE;TRUE;TRUE;2592537.17375;0;0.216216216216216;599297.552432433;286742.41;FALSE;"3";-100;47.8464176661774;37;8;29;NA;NA;1.35576467269825;NA;NA;1.2931464234102;1.38253760111585;NA;TRUE
403;"Germany";"Abs 1";"Scope 1+2 (market-based)";100;2015;2020;80;2025;2015;2021;7411;711;2015;TRUE;TRUE;TRUE;TRUE;TRUE;7411;1482.2;0.5;2964.4;6700;TRUE;"1";108.466947960619;226.015382539468;10;5;5;-15.8263689006985;14.8660077479215;37.4253315064145;-21.6933895921238;8;18.0812306031575;18.0812306031575;29.6933895921238;FALSE
427;"Canada";"Abs 1";"Scope 1";99;2005;2020;50;2050;2010;2021;8624640;13170133;2010;TRUE;TRUE;TRUE;TRUE;TRUE;10139804.3333333;4312320;0.333333333333333;1437440;-4545493;FALSE;"3";-67.2568226911604;-316.221407502226;45;15;30;3.65318540111206;1.52852470655688;-2.86239033040212;2.24189408970535;1.11111111111111;-3.51357119446918;-2.98854747788854;-1.13078297859423;FALSE
427;"Canada";"Abs 2";"Scope 1+2 (location-based) +3 (downstream)";100;2019;2020;100;2050;2021;2021;14827335;5619235;2021;TRUE;TRUE;TRUE;TRUE;TRUE;5619235;0;0.032258064516129;478301.129032258;9208100;TRUE;"3";-100;1925.16794150803;31;1;30;NA;NA;62.1021916615494;NA;NA;62.1021916615494;0;NA;TRUE
427;"Canada";"Abs 3";"Other, please specify: GHG Emissions from flight operations, which include 99% of Scope 1 emissions and 99% of Scope 3 emissions.";99;2019;2020;20;2030;2021;2021;14752684;5560186;2021;TRUE;TRUE;FALSE;TRUE;FALSE;5560186;11802147.2;0.0909090909090909;268230.618181818;9192498;TRUE;"2";112.261733690204;3427.08750489064;11;1;10;-7.81698194183404;2.00814052919691;62.3106819071025;-11.2261733690204;1.81818181818182;62.3106819071025;0;13.0443551872022;FALSE
427;"Canada";"Abs 4";"Other, please specify: GHG Emissions from our Canadian ground operations, which include 1% of Scope 1 emissions and 1% of Scope 3 emissions.";1;2019;2020;30;2030;2021;2021;68600;55257;2021;TRUE;TRUE;FALSE;FALSE;FALSE;55257;48020;0.0909090909090909;1870.90909090909;13343;TRUE;"2";-13.0969831876504;713.182701652089;11;1;10;1.39396741438661;3.19049408284494;19.4504373177843;1.30969831876504;2.72727272727273;19.4504373177843;0;1.41757440850768;FALSE
