"company_name";"Country/Region";"Scope(s) (or Scope 3 category)";"count_TY"
"AOE GMBH";"Global";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";1
"Aon plc";"Global";"Scope 1+2 (location-based)";1
"Aoyama Trading Co., Ltd.";"Global";"Scope 2 (market-based)";1
"APG SGA SA";"Global";"Scope 1";2
"APG SGA SA";"Global";"Scope 1+2 (market-based)";2
"APOLLO TYRES LTD";"Global";"Scope 1+2 (location-based)";1
"Apple Inc.";"Global";"Scope 1+2 (market-based)";2
"Apple Inc.";"Global";"Scope 1+2 (market-based) +3 (upstream & downstream)";1
"Apple Inc.";"Global";"Scope 2 (market-based)";1
"Applied Materials Inc.";"Global";"Scope 1+2 (market-based)";1
"Applied Optoelectronics, Inc.";"Global";"Other, please specify: Scope 3: Use of Sold Products + Purchased Goods and Services";1
"Applied Optoelectronics, Inc.";"Global";"Scope 1+2 (market-based)";1
"AptarGroup";"Global";"Scope 1+2 (market-based)";1
"AptarGroup";"Global";"Scope 3 (upstream)";1
"Aquitex S.A.";"Global";"Scope 1+2 (location-based)";1
"Arcadis";"Global";"Scope 1+2 (location-based) +3 (upstream & downstream)";1
"Arcadis";"Global";"Scope 1+2 (market-based)";1
"Arcadyan Technology Corporation";"Global";"Scope 1+2 (location-based)";1
"Arce Avícola";"Global";"Scope 1+2 (market-based)";1
"ARÇELİK A.Ş.";"Global";"Scope 1+2 (location-based)";3
"Archer Daniels Midland";"Global";"Scope 1+2 (location-based)";1
"ARKEMA";"Global";"Scope 1+2 (market-based)";1
"Arkhangelsk Pulp and Paper Mill";"Global";"Scope 1+2 (location-based)";2
"Arkhangelsk Pulp and Paper Mill";"Global";"Scope 3 (upstream)";1
"Artec Co., Ltd";"Global";"Scope 2 (market-based)";1
"ARTESYN EMBEDDED TECHNOLOGIES";"Global";"Scope 2 (location-based)";1
"ARVIND Ltd";"Global";"Scope 1+2 (location-based)";2
"Asahi Forge Corporation";"Global";"Scope 3 (upstream)";1
