"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"Amgen, Inc.";"S12L";2020;2012;55;0.857091223586209;0.857091223586209;0.16673694990813
"AmorePacific Corporation";"S12L";2030;2018;2;1;0;0
"AMOTECH CO.,LTD.";"S1";2020;2019;1;0;0;NA
"AMP";"S12L";2021;2013;3;0;0;NA
"AMP";"S12L";2030;2019;3;0;0;NA
"An Post";"S1";2020;2009;2;1.99874015748031;0.998740157480314;0.000630318310747446
"An Post";"S2M";2020;2009;1;0;0;NA
"ANA Holdings Inc.";"S1";2020;2012;2;1;0;0
"Analog Devices, Inc.";"S12M";2025;2015;5;0.999992717792617;0.999992717792617;0.00000728226041357694
"ANCOROTTI";"S1";2020;2019;1;1;0;0
"ANCOROTTI";"S2M";2020;2019;1;0;0;NA
"Anglian Water";"S12L3";2025;2020;1;1;0;0
"Anglian Water";"S12L3";2030;2020;1;1;0;0
"Anglian Water";"S3";2030;2010;1;0;0;NA
"Anglo American";"S12L";2020;2015;9;1.00000005635713;0.0000000563571325162826;0.0000000563571292966358
"Anglo American";"S12L";2030;2016;9;1.00000005635713;0.0000000563571325162826;0.0000000563571292966358
"Anglo American Platinum";"S12L";2020;2015;2;1;1;0.000000000000000444089209850063
"Anglo American Platinum";"S12L";2030;2016;2;1;1;0.000000000000000444089209850063
"Anheuser Busch InBev";"S12M";2025;2017;24;0;0;NA
"Ankyo Development Ltd";"S1";2022;2018;1;0;0;NA
"Anritsu Corporation";"S12M";2030;2015;3;1.00008036647111;0.0000803664711084284;0.0000803600128578275
"Anritsu Corporation";"S12M";2050;2015;3;1.00008036647111;0.0000803664711084284;0.0000803600128578275
"Anritsu Corporation";"S13";2030;2018;3;1;0;0
"Antofagasta";"S12L";2022;2017;2;0.999214386805857;0.999214386805857;0.000786230867485971
"AOE GMBH";"S3";2020;2019;2;0;0;NA
"Aon plc";"S12L";2020;2015;4;1.00000832369172;0.00000832369172321101;0.00000832362243996521
"Aoyama Trading Co., Ltd.";"S2M";2025;2009;1;0;0;NA
"APG SGA SA";"S1";2020;2015;1;1;0;0
"APG SGA SA";"S1";2022;2017;1;1;0;0
"APG SGA SA";"S12M";2023;2018;1;1;0;0
"APG SGA SA";"S12M";2035;2017;1;1;0;0
"Apple Inc.";"S12M";2020;2012;5;0.810480919503848;0.810480919503848;0.233835338914789
"Apple Inc.";"S12M";2036;2012;5;0.810480919503848;0.810480919503848;0.233835338914789
"Apple Inc.";"S12M3";2030;2015;5;0.810480919503848;0.810480919503848;0.233835338914789
"Applied Materials Inc.";"S12M";2020;2018;13;0;0;NA
"Applied Optoelectronics, Inc.";"S12M";2031;2018;3;1;0;0
