"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"American Sugar Refining, Inc.";"S12L";2030;2012;1;1;0;0
"American Tower Corp.";"S1";2027;2017;1;1;0;0
"American Water Works";"S12L";2025;2007;1;1;0;0
"AmerisourceBergen Corp.";"S2L";2020;2016;2;2;0;0
"Amgen, Inc.";"S12L";2020;2012;2;2;0;0
"AmorePacific Corporation";"S12L";2030;2018;1;1;0;0
"AMOTECH CO.,LTD.";"S1";2020;2019;1;1;0;0
"AMP";"S12L";2021;2013;1;1;0;0
"AMP";"S12L";2030;2019;1;1;0;0
"Amtrak";"S12L";2019;2018;2;2;0;0
"An Post";"S1";2020;2009;2;2;0;0
"An Post";"S2M";2020;2009;1;1;0;0
"ANA Holdings Inc.";"S1";2020;2012;2;2;0;0
"Analog Devices, Inc.";"S12M";2025;2015;1;1;0;0
"ANCOROTTI";"S1";2020;2019;1;1;0;0
"ANCOROTTI";"S2M";2020;2019;1;1;0;0
"Anglian Water";"S12L3";2020;2015;1;1;0;0
"Anglian Water";"S12L3";2025;2020;1;1;0;0
"Anglian Water";"S12L3";2030;2020;1;1;0;0
"Anglian Water";"S3";2030;2010;1;1;0;0
"Anglo American";"S12L";2020;2015;1;1;0;0
"Anglo American";"S12L";2030;2016;1;1;0;0
"Anglo American Platinum";"S12L";2020;2015;1;1;0;0
"Anglo American Platinum";"S12L";2030;2016;1;1;0;0
"Anheuser Busch InBev";"S12M";2025;2017;1;1;0;0
"Ankyo Development Ltd";"S1";2022;2018;1;1;0;0
"ANNOVI REVERBERI SPA";"S12L";2019;2018;1;1;0;0
"Anritsu Corporation";"S12M";2030;2015;1;1;0;0
"Anritsu Corporation";"S12M";2050;2015;1;1;0;0
"Anritsu Corporation";"S13";2030;2018;1;1;0;0
"Antofagasta";"S12L";2022;2017;1;1;0;0
"AOE GMBH";"S3";2020;2019;2;2;0;0
"Aon plc";"S12L";2020;2015;1;1;0;0
"Aoyama Trading Co., Ltd.";"S2M";2025;2009;1;1;0;0
"APG SGA SA";"S1";2020;2015;1;1;0;0
"APG SGA SA";"S1";2022;2017;1;1;0;0
"APG SGA SA";"S12M";2023;2018;1;1;0;0
"APG SGA SA";"S12M";2035;2017;1;1;0;0
"APOLLO TYRES LTD";"S12L";2020;2015;1;1;0;0
"Apple Inc.";"S12M";2020;2012;3;3;0;0
"Apple Inc.";"S12M";2036;2012;3;3;0;0
"Apple Inc.";"S12M3";2030;2015;3;3;0;0
"Apple Inc.";"S2M";2019;2011;3;3;0;0
"Applied Materials Inc.";"S12M";2020;2018;2;2;0;0
"Applied Optoelectronics, Inc.";"S12M";2031;2016;1;1;0;0
"Applied Optoelectronics, Inc.";"S12M";2031;2018;1;1;0;0
"Applied Optoelectronics, Inc.";"S3";2031;2018;1;1;0;0
"AptarGroup";"S12M";2030;2019;1;1;0;0
"AptarGroup";"S3";2030;2019;1;1;0;0
"Aquitex S.A.";"S12L";2030;2019;1;1;0;0
"Arcadis";"S12L3";2030;2008;1;1;0;0
"Arcadis";"S12M";2020;2010;1;1;0;0
"Arcadyan Technology Corporation";"S12L";2019;2017;1;1;0;0
"Arce Avícola";"S12M";2020;2020;2;2;0;0
"Arce Avícola";"S12M";2020;NA;1;1;0;0
"ARÇELİK A.Ş.";"S12L";2020;2010;1;1;0;0
"ARÇELİK A.Ş.";"S12L";2025;2010;1;1;0;0
"ARÇELİK A.Ş.";"S12L";2040;2010;1;1;0;0
"Archer Daniels Midland";"S12L";2035;2019;3;3;0;0
"ARKEMA";"S12M";2030;2015;2;2;0;0
"Arkhangelsk Pulp and Paper Mill";"S12L";2020;1990;1;1;0;0
"Arkhangelsk Pulp and Paper Mill";"S12L";2030;2012;1;1;0;0
"Arkhangelsk Pulp and Paper Mill";"S3";2030;2015;1;1;0;0
"Artec Co., Ltd";"S2M";2019;2018;1;1;0;0
"ARTESYN EMBEDDED TECHNOLOGIES";"S2L";2030;2014;1;1;0;0
"ARVIND Ltd";"S12L";2019;2014;1;1;0;0
"ARVIND Ltd";"S12L";2023;2019;1;1;0;0
"Asahi Forge Corporation";"S3";2019;2018;1;1;0;0
"Asahi Group Holdings, Ltd.";"S12M";2030;2015;1;1;0;0
"Asahi Group Holdings, Ltd.";"S12M";2050;2015;1;1;0;0
"Asahi Kasei Corporation";"S12M";2020;2005;1;1;0;0
"ASAHI PRINTING";"S12M";2019;2013;1;1;0;0
"ASE Technology Holding Co., Ltd.";"S12M";2025;2016;2;2;0;0
"ASE Technology Holding Co., Ltd.";"S12M";2035;2016;2;2;0;0
"Asia Vital Components Co., LTD";"S12L";2019;2018;1;1;0;0
"Asics Corporation";"S12M";2020;2015;2;2;0;0
"Asics Corporation";"S12M";2030;2015;2;2;0;0
"ASK INDUSTRIES SPA";"S2L";NA;NA;1;1;0;0
"Askey /Siligence";"S12L";2019;2015;1;1;0;0
"Askul";"S1";2030;2015;1;1;0;0
"Askul";"S2M";2030;2015;1;1;0;0
"Askul";"S3";2030;2015;1;1;0;0
"ASML Holding";"S12M";2025;2019;2;2;0;0
"ASOCIADOS UNDURRAGA IMPRESORES LTDA";"S2L";2019;2017;1;1;0;0
"ASR Nederland";"S12L3";2019;2018;1;1;0;0
"ASR Nederland";"S3";2025;2017;1;1;0;0
"Assicurazioni Generali Spa";"S12L3";2020;2013;1;1;0;0
"Assicurazioni Generali Spa";"S12M3";2020;2013;1;1;0;0
"Associated British Foods";"S12L3";2030;2018;1;1;0;0
"Assurant, Inc.";"S2L";2020;2019;1;1;0;0
"Astellas Pharma Inc.";"S12M";2030;2015;1;1;0;0
"ASTM SpA";"S12M";2030;2019;1;1;0;0
"ASTM SpA";"S2L";2021;2017;1;1;0;0
"AstraZeneca";"S1";2025;2015;1;1;0;0
"AstraZeneca";"S2M";2025;2015;1;1;0;0
"AstraZeneca";"S3";2025;2015;3;3;0;0
"AstraZeneca";"S3";2025;2017;1;1;0;0
