"account_id";"BY";"MRY";"TR";"TY";"source_year";"BY_EM";"MRY_EM";"TY_EM";"reduction_achieved";"Timelapsed";"reduction_required";"on_track";"target_year_group";"target_completed";"progress_rate";"maturity";"maturity_remaining";"annual_ambition";"annual_progress";"annual_ambition_a";"annual_progress_a"
"21";248;2019;2020;8;2025;2021;290624;241150;267374.08;49474;0.166666666666667;3874.98666666667;TRUE;"1";10.8745925772341;1276.75278022462;6;5;-10.8745925772341;17.0233704029949;-2.17491851544682;17.0233704029949
"22";257;2019;2020;46.2;2030;2021;9416;5728;5065.808;3688;0.0909090909090909;395.472;TRUE;"2";-11.5606145251397;932.556540033175;11;10;11.5606145251397;39.1673746813934;1.15606145251397;39.1673746813934
"23";257;2019;2020;46.2;2030;2021;296652;253717;159598.776;42935;0.0909090909090909;12459.384;TRUE;"2";-37.0957499891611;344.599700916193;11;10;37.0957499891611;14.4731874384801;3.70957499891611;14.4731874384801
"24";258;2010;2021;51.5;2030;2021;811197;3016844;393430.545;-2205647;0.55;229771.55025;FALSE;"2";-86.95887009736;-959.930416798848;20;9;16.9051494633956;-12.6826251570511;9.66209667748445;-24.7182082325703
"25";258;2010;2021;51.5;2030;2021;811197;3016844;393430.545;-2205647;0.55;229771.55025;FALSE;"2";-86.95887009736;-959.930416798848;20;9;16.9051494633956;-12.6826251570511;9.66209667748445;-24.7182082325703
"26";276;2008;2020;100;2050;2021;38452000;33902000;0;4550000;0.285714285714286;10986285.7142857;FALSE;"3";-100;41.4152709872048;42;30;100;1.04398475578956;3.33333333333333;0.986077880647734
"27";282;2019;2020;80;2030;2021;997903;560817;199580.6;437086;0.0909090909090909;72574.7636363636;TRUE;"2";-64.4125267244039;602.256181212001;11;10;64.4125267244039;43.800449542691;6.44125267244039;43.800449542691
"28";282;2019;2020;15;2030;2021;809927000;124757700;688437950;685169300;0.0909090909090909;11044459.0909091;TRUE;"2";451.82000790332;6203.7379500457;11;10;-451.82000790332;84.5964265915323;-45.182000790332;84.5964265915323
"29";285;2019;2020;50;2030;2021;5370000;4850000;2685000;520000;0.0909090909090909;244090.909090909;TRUE;"2";-44.639175257732;213.035381750466;11;10;44.639175257732;9.68342644320298;4.4639175257732;9.68342644320298
"30";313;2011;2020;22.23;2024;2021;480000;392575;373296;87425;0.692307692307692;73872;TRUE;"1";-4.91090874355219;118.3465995235;13;4;0.557948002161068;2.20921473397389;1.22772718588805;2.02372685185185
"31";313;2017;2020;57.7;2024;2021;235812;309117;99748.476;-73305;0.428571428571429;58312.9388571429;FALSE;"1";-67.7311581051835;-125.709664847428;7;4;31.4099489031691;-9.44241372421351;16.9327895262959;-10.362068088138
"32";316;2009;2020;80;2050;2021;32144.42;12199;6428.884;19945.42;0.268292682926829;6899.29014634146;TRUE;"3";-47.2999098286745;289.093799172609;41;30;5.65690413887644;8.43127885327569;1.57666366095582;5.64085461800213
"33";333;2018;2020;35;2025;2021;59990;44382;38993.5;15608;0.285714285714286;5999;TRUE;"1";-12.1411833626245;260.176696116019;7;5;6.26696599523969;13.9870181958572;2.4282366725249;13.008834805801
"34";333;2018;2020;30;2025;2021;40498;11978;28348.6;28520;0.285714285714286;3471.25714285714;TRUE;"1";136.672232426115;821.604359062999;7;5;-53.8415523927507;45.6154716641107;-27.3344464852229;35.2116153884142
"35";336;2016;2020;35;2030;2021;1957126;1752602;1272131.9;204524;0.285714285714286;195712.6;TRUE;"2";-27.4146725839637;104.502213960675;14;10;7.69776650618398;2.72166490185688;2.74146725839637;2.61255534901687
"36";336;2020;2020;15;2030;2021;21179759;21179759;18002795.15;0;0;0;TRUE;"2";-15;NA;10;10;100;0;1.5;NA
"37";351;2016;2020;100;2024;2021;43776410;42726651;0;1049759;0.5;21888205;FALSE;"1";-100;4.79600314415915;8;4;100;0.604968081187474;25;0.599500393019894
"38";351;2016;2020;100;2037;2021;43776410;42726651;0;1049759;0.19047619047619;8338363.80952381;FALSE;"3";-100;12.5895082534178;21;17;100;0.604968081187474;5.88235294117647;0.599500393019894
"39";351;2016;2020;100;2050;2021;43776410;42726651;0;1049759;0.117647058823529;5150165.88235294;FALSE;"3";-100;20.3830133626764;34;30;100;0.604968081187474;3.33333333333333;0.599500393019894
"40";365;2017;2020;5;2023;2021;1178.74;859;1119.803;319.74;0.5;29.4685;TRUE;"1";30.3612339930151;1085.02299065103;6;3;-9.24028410173103;10.0105258261608;-10.120411331005;9.04185825542529
"41";394;2018;2021;50;2030;2021;2316924;1910600;1158462;406324;0.25;289615.5;TRUE;"2";-39.3665864126452;140.297739589214;12;9;15.3609708689206;6.22523271682319;4.37406515696058;5.84573914955058
"42";399;2013;2021;25;2030;2021;2232053;2603787.802;1674039.75;-371734.802;0.470588235294118;262594.470588235;FALSE;"2";-35.7075200707926;-141.562311334005;17;9;5.37192133299108;-1.94422665548999;3.96750223008807;-2.08179869608831
"43";427;2005;2020;50;2050;2021;8698758;5034113;4349379;3664645;0.333333333333333;1449793;TRUE;"3";-13.6018798147757;252.77022305943;45;30;0.96996035964988;3.58060974446353;0.453395993825857;2.80855803399366
"44";427;2019;2020;100;2050;2021;13215834;5044252;0;8171582;0.032258064516129;426317.225806452;TRUE;"3";-100;1916.78438152295;31;30;100;61.8317542426759;3.33333333333333;61.8317542426759
